"Year","Population","mean.discharge","sd.discharge","mean.withdraw","sd.withdraw"
"2012","241,107",16.7933333333333,1.73190558914075,27.5825,3.53754441025769
"2013","247,002",17.9875,1.97434972033372,26.5783333333333,2.45479061626383
"2014","253,316",17.9508333333333,1.55310514971157,26.9616666666667,2.30227094738033
"2015","258,581",18.2983333333333,3.03073598422241,27.2308333333333,3.21258168154618
"2016","265,355",19.1225,2.24061730536272,28.0033333333333,2.73554825262218
"2017","269,578",17.1775,2.03857849314842,28.8758333333333,2.60369827302813
"2018","274,291",20.6383333333333,2.82502078297531,27.445,2.63894779306932
"2019","278,993",19.8866666666667,3.93374291652789,29.5866666666667,3.83742416764478
"2020","283,506",19.7525,2.54603122526021,27.375,2.90992189835835
"2021","290,877",18.6191666666667,3.00932930713604,29.0158333333333,3.27922789785349
